SuccGrp	Spp	ac0	ac20	ac40	ac60	ac80	ac100	pGetTrans_ac0	pGetTrans_ac20	pGetTrans_ac40	pGetTrans_ac60	pGetTrans_ac80	pGetTrans_ac100	pMakeTrans_ac0	pMakeTrans_ac20	pMakeTrans_ac40	pMakeTrans_ac60	pMakeTrans_ac80	pMakeTrans_ac100
gMS21	 Bb	0	3	9.100000	11.200000	19.300000	17.300000	0	0.030000	0.061000	0.021000	0.081000	0	0	0	0	0	0	0.103627
gMS21	 BbPe	0	27.200000	27.200000	27.200000	27.200000	27.200000	0	0.272000	0.066000	0	0	0	0	0	0.242647	0	0	0
gMS21	 BbE	0	3	9.100000	11.200000	19.300000	17.300000	0	0	0	0	0	0	0	0	0	0	0	0.103627
gMS21	 BbS	0	42	45.500000	45.500000	45.500000	48	0	0.420000	0.035000	0	0	0.025000	0	0	0	0	0	0
gMS21	 Pe	0	1	2.500000	0.300000	0	0	0	0.010000	0.025000	0.003000	0	0	0	0	1	1	1	0
gMS21	 PeBb	0	15	9.300000	7.500000	7.500000	7.500000	0	0.150000	0	0	0	0	0	0	0.380000	0.193548	0	0
gMS21	 PeE	0	1	2.500000	0.300000	0	0	0	0	0	0	0	0	0	0	1	1	1	0
gMS21	 PePg	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gMS21	 PeS	0	0	0	1.300000	0	0	0	0	0	0.013000	0	0	0	0	0	0	1	0
gMS21	 EPe	2	1	0	0	0	0	2	0	0	0	0	0	0	0.500000	1	0	0	0
gMS21	 Pg	92.100000	4	0	0	0	0	92.100000	0	0	0	0	0	0	0.956569	1	0	0	0
gMS21	 PgBb	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gMS21	 PgPe	0	0	0	4	0	0	0	0	0	0.040000	0	0	0	0	0	0	1	0
gMS21	 PgE	92.100000	4	0	0	0	0	92.100000	0	0	0	0	0	0	0.956569	1	0	0	0
gMS21	 S	5.900000	1	0	0	0	0	5.900000	0	0	0	0	0	0	0.830508	1	0	0	0
gMS21	 SBb	0	4	4.400000	2.200000	0	0	0	0.040000	0.029000	0.022000	0	0	0	0	0.625000	1	1	0
gMS21	 SPe	0	1.800000	0.900000	0.800000	0.500000	0	0	0.018000	0	0	0	0	0	0	0.500000	0.111111	0.375000	1
gMS21	 SE	0	0	1.100000	0	0	0	0	0	0.011000	0	0	0	0	0	0	1	0	0
gMS22	 Bb	0	12	34.600000	25	25	25	0	0.120000	0.226000	0	0	0	0	0	0	0.277457	0	0
gMS22	 BbPe	0.800000	24.800000	24.800000	24.800000	24.800000	29.500000	0.800000	0.240000	0	0	0	0.047000	0	0	0	0	0	0
gMS22	 BbE	0	0.400000	0.500000	1.100000	0.800000	0	0	0.004000	0.001000	0.006000	0	0	0	0	0	0	0.272727	1
gMS22	 BbPg	0	0	0	0	0.500000	0	0	0	0	0	0	0	0	0	0	0	0	1
gMS22	 BbS	0.200000	22	22	20.600000	20.600000	16.300000	0.200000	0.220000	0	0	0	0	0	1	0	0.063636	0	0.208738
gMS22	 Pe	0	1	1.100000	5	1.600000	0	0	0.010000	0.011000	0.050000	0.016000	0	0	0	1	1	1	1
gMS22	 PeBb	0.600000	13.300000	13.300000	20	24	27.700000	0.600000	0.127000	0	0.067000	0.040000	0.037000	0	0	0	0	0	0
gMS22	 PeE	0.500000	0.500000	0.500000	0.500000	0.500000	0	0.500000	0	0	0	0.005000	0	0	0	0	0	1	1
gMS22	 PePg	0.700000	0.600000	0.600000	0.500000	0	0	0.700000	0	0	0	0	0	0	0.142857	0	0.166667	1	0
gMS22	 PeS	0	0.200000	0.200000	0.200000	0.300000	0	0	0.002000	0.002000	0.002000	0.003000	0	0	0	1	1	1	1
gMS22	 E	0	0	0	0.200000	0.100000	0	0	0	0	0.002000	0	0	0	0	0	0	0.500000	1
gMS22	 EBb	0	0.100000	0.100000	0.100000	0.100000	0	0	0.001000	0.001000	0.001000	0.001000	0	0	0	1	1	1	1
gMS22	 EPe	4.800000	0	0	0	0	0	4.800000	0	0	0	0	0	0	1	0	0	0	0
gMS22	 EPg	0	0	0	0.200000	0.100000	0	0	0	0	0	0	0	0	0	0	0	0.500000	1
gMS22	 ES	0	0	0	0.200000	0.100000	0	0	0	0	0	0	0	0	0	0	0	0.500000	1
gMS22	 Pg	0.700000	0	0	0	0	0	0.700000	0	0	0	0	0	0	1	0	0	0	0
gMS22	 PgBb	0	0	0	0	0.500000	0	0	0	0	0	0.005000	0	0	0	0	0	0	1
gMS22	 PgPe	0.300000	0.300000	0.300000	0.200000	0	0	0.300000	0.003000	0.003000	0.002000	0	0	0	1	1	1	1	0
gMS22	 PgE	68.200000	15	0	0	0.100000	0	68.200000	0	0	0	0.001000	0	0	0.780059	1	0	0	1
gMS22	 S	23.200000	1	0	0.100000	0	0	23.200000	0	0	0.001000	0	0	0	0.956897	1	0	1	0
gMS22	 SBb	0	5.800000	1.800000	1.500000	1.500000	1.500000	0	0.058000	0	0	0	0	0	0	0.689655	0.166667	0	0
gMS22	 SPe	0	3	0.200000	0.200000	0.100000	0	0	0.030000	0	0	0	0	0	0	0.933333	0	0.500000	1
gMS22	 SE	23.200000	1	0	0.100000	0	0	23.200000	0	0	0	0	0	0	0.956897	1	0	1	0
gMS22	 SPg	23.200000	1	0	0.100000	0	0	23.200000	0	0	0	0	0	0	0.956897	1	0	1	0
gMS25	 Bb	0	7.200000	8	10.200000	10.600000	36.300000	0	0.072000	0.008000	0.022000	0.004000	0.257000	0	0	0	0	0	0
gMS25	 BbPe	0	8.200000	13	15.100000	28.700000	28.700000	0	0.082000	0.048000	0.021000	0.136000	0	0	0	0	0	0	0
gMS25	 BbE	0	7.200000	8	10.200000	10.600000	36.300000	0	0	0	0	0	0	0	0	0	0	0	0
gMS25	 BbS	0	51.300000	57.100000	48.200000	42.500000	35	0	0.513000	0.058000	0	0	0	0	0	0	0.155867	0.118257	0.176471
gMS25	 Pe	1.200000	15.700000	16.300000	16.300000	15.300000	0	1.200000	0	0	0	0	0	0	1	0.828025	0	0.061350	1
gMS25	 PeBb	1.200000	15.700000	16.300000	16.300000	15.300000	0	1.200000	0.157000	0.136000	0	0	0	0	1	0.828025	0	0.061350	1
gMS25	 PeS	1.200000	15.700000	16.300000	16.300000	15.300000	0	1.200000	0	0	0	0	0	0	1	0.828025	0	0.061350	1
gMS25	 PgPe	0	0	0	3.600000	0	0	0	0	0	0.036000	0	0	0	0	0	0	1	0
gMS25	 PgE	43.400000	8.300000	0	0	0	0	43.400000	0	0	0	0	0	0	0.808756	1	0	0	0
gMS25	 S	55.400000	0	0	0	0	0	55.400000	0	0	0	0	0	0	1	0	0	0	0
gMS25	 SBb	0	8.400000	4.500000	4.500000	0.800000	0	0	0.084000	0	0	0	0	0	0	0.464286	0	0.822222	1
gMS25	 SPe	0	0.900000	1.100000	2.100000	2.100000	0	0	0.009000	0.011000	0.021000	0.021000	0	0	0	1	1	1	1
gRE20	 Bb	0	0	0.300000	0.100000	0	0	0	0	0	0	0	0	0	0	0	0.666667	1	0
gRE20	 BbPe	0	0	0.300000	0.100000	0	0	0	0	0.003000	0	0	0	0	0	0	0.666667	1	0
gRE20	 BbE	0	0	0.200000	0.100000	0	0	0	0	0	0	0	0	0	0	0	0.500000	1	0
gRE20	 PeBb	0	0	0	0.100000	0.400000	0	0	0	0	0.001000	0.004000	0	0	0	0	0	1	1
gRE20	 PeE	0	0	0	0.100000	0.400000	0	0	0	0	0	0	0	0	0	0	0	1	1
gRE20	 PeS	0	0	0.300000	0.200000	0	0	0	0	0	0	0	0	0	0	0	0.333333	1	0
gRE20	 E	0	40.500000	57.300000	57.300000	57.300000	83.700000	0	0.405000	0.168000	0	0	0.264000	0	0	0	0	0	0
gRE20	 EBb	0	0	0.200000	0.100000	0	0	0	0	0.002000	0	0	0	0	0	0	0.500000	1	0
gRE20	 EPe	1.600000	0	0	0	0	0	1.600000	0	0	0	0	0	0	1	0	0	0	0
gRE20	 EPg	0	7	15.800000	14.600000	14.300000	11	0	0.070000	0.112000	0	0	0	0	0	0.342857	0.075949	0.020548	0.230769
gRE20	 ES	0	0.300000	0.200000	0.200000	0.200000	0	0	0.003000	0	0	0	0	0	0	0.333333	0	0	1
gRE20	 EMe	0	40.500000	57.300000	57.300000	57.300000	83.700000	0	0	0	0	0	0	0	0	0	0	0	0
gRE20	 Pg	2.900000	5.500000	5.500000	7.500000	8.200000	0.200000	2.900000	0.026000	0	0.020000	0.007000	0	0	0	0	0	0	0.975610
gRE20	 PgBb	0	0	0	0.200000	0	0	0	0	0	0.002000	0	0	0	0	0	0	1	0
gRE20	 PgE	94.400000	45	19.700000	18.900000	18.900000	5.100000	94.400000	0	0	0	0	0	0	0.523305	0.562222	0.040609	0	0.730159
gRE20	 PgMe	2.900000	5.500000	5.500000	7.500000	8.200000	0.200000	2.900000	0	0	0	0	0	0	0	0	0	0	0.975610
gRE20	 S	1.100000	1	0	0	0	0	1.100000	0	0	0	0	0	0	0.090909	1	0	0	0
gRE20	 SBb	0	0	0	0.100000	0	0	0	0	0	0.001000	0	0	0	0	0	0	1	0
gRE20	 SPe	0	0	0.300000	0.200000	0	0	0	0	0.003000	0	0	0	0	0	0	0.333333	1	0
gRE20	 SE	0	0.700000	0.700000	0.700000	0.700000	0	0	0.007000	0.007000	0.007000	0.007000	0	0	0	1	1	1	1
gRE20	 SPg	0	0.700000	0.700000	0.700000	0.700000	0	0	0	0	0	0	0	0	0	1	1	1	1
gRE21	 Bb	0	0.100000	0.200000	0.200000	0	0	0	0	0	0	0	0	0	0	1	1	1	0
gRE21	 BbS	0	0.100000	0.200000	0.200000	0	0	0	0	0	0	0	0	0	0	1	1	1	0
gRE21	 PeBb	4	0.200000	0.100000	0.100000	0.100000	0	4	0	0	0	0	0	0	0.950000	0.500000	0	0	1
gRE21	 PePg	0.100000	0.100000	0.300000	0.300000	0.300000	0	0.100000	0	0	0	0	0	0	1	1	1	1	1
gRE21	 E	0	25	33.700000	36	39.500000	62	0	0.250000	0.087000	0.023000	0.035000	0.225000	0	0	0	0	0	0
gRE21	 EPe	4	0.200000	0.100000	0.100000	0.100000	0	4	0	0	0	0	0	0	0.950000	0.500000	0	0	1
gRE21	 EPg	0	17	13.800000	11.500000	10	9	0	0.170000	0	0	0	0	0	0	0.188235	0.166667	0.130435	0.100000
gRE21	 ES	0	0.500000	0	0	0	0	0	0.005000	0	0	0	0	0	0	1	0	0	0
gRE21	 EMe	0	1.200000	1.200000	1.200000	1.200000	4	0	0.012000	0	0	0	0.028000	0	0	0	0	0	0
gRE21	 Pg	27	24.600000	24.600000	24.600000	24.600000	10	27	0	0	0	0	0	0	0.088889	0	0	0	0.593496
gRE21	 PgBb	27	24.600000	24.600000	24.600000	24.600000	10	27	0	0	0	0	0	0	0.088889	0	0	0	0.593496
gRE21	 PgPe	0.100000	0.100000	0.300000	0.300000	0.300000	0	0.100000	0.001000	0.003000	0.003000	0.003000	0	0	1	1	1	1	1
gRE21	 PgE	68.900000	28	25.700000	25.700000	22.600000	15	68.900000	0	0	0	0	0	0	0.593614	0.082143	0	0.120623	0.336283
gRE21	 PgMe	27	24.600000	24.600000	24.600000	24.600000	10	27	0	0	0	0	0	0	0.088889	0	0	0	0.593496
gRE21	 S	0	0.400000	0	0	0	0	0	0.004000	0	0	0	0	0	0	1	0	0	0
gRE21	 SBb	0	0.100000	0.200000	0.200000	0	0	0	0.001000	0.002000	0.002000	0	0	0	0	1	1	1	0
gRE21	 SPe	0	0.500000	0	0	0	0	0	0.005000	0	0	0	0	0	0	1	0	0	0
gRE21	 SE	0	2.400000	0.400000	0.400000	0.400000	0	0	0.024000	0	0	0	0	0	0	0.833333	0	0	1
gRE21	 SPg	0	0.400000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
gRE21	 SMe	0	0	0	0	1.300000	0	0	0	0	0	0.013000	0	0	0	0	0	0	1
gRE21	 MeE	0	1.200000	1.200000	1.200000	1.200000	4	0	0	0	0	0	0	0	0	0	0	0	0
gRE21	 MePg	27	24.600000	24.600000	24.600000	24.600000	10	27	0	0	0	0	0	0	0.088889	0	0	0	0.593496
gRE22	 E	0	30.700000	47	47	54.600000	79.800000	0	0.307000	0.163000	0	0.076000	0.252000	0	0	0	0	0	0
gRE22	 EBb	0	30.700000	47	47	54.600000	79.800000	0	0	0	0	0	0	0	0	0	0	0	0
gRE22	 EPg	0	4	11	17.700000	7.500000	0	0	0.040000	0.070000	0.067000	0	0	0	0	0	0	0.576271	1
gRE22	 ES	1.600000	2.200000	2.200000	1.500000	1.500000	1.300000	1.600000	0	0	0	0	0	0	1	1	1	1	0.133333
gRE22	 EMe	0	28.600000	28.600000	21.800000	21.800000	16.700000	0	0.286000	0.223000	0	0	0	0	0	0.779720	0.237762	0	0.233945
gRE22	 Pg	98.400000	29.200000	4.800000	1.300000	1.300000	1.300000	98.400000	0	0	0	0	0	0	0.703252	0.835616	0.729167	0	0
gRE22	 PgE	98.400000	29.200000	4.800000	1.300000	1.300000	1.300000	98.400000	0	0	0	0	0	0	0.703252	0.835616	0.729167	0	0
gRE22	 PgMe	0	0	0	0.500000	3	0	0	0	0	0	0	0	0	0	0	0	1	1
gRE22	 S	1.600000	2.200000	2.200000	1.500000	1.500000	1.300000	1.600000	0	0	0	0	0	0	1	1	1	1	0.133333
gRE22	 SE	1.600000	2.200000	2.200000	1.500000	1.500000	1.300000	1.600000	0.022000	0.022000	0.015000	0.015000	0	0	1	1	1	1	0.133333
gRE22	 SPg	1.600000	2.200000	2.200000	1.500000	1.500000	1.300000	1.600000	0	0	0	0	0	0	1	1	1	1	0.133333
gRE22	 Me	0	0.300000	0.400000	1.200000	1.300000	0	0	0.003000	0.004000	0.012000	0.013000	0	0	0	1	1	1	1
gRE22	 MeE	0	5	6	9	9	0.900000	0	0.050000	0.060000	0.051000	0.054000	0	0	0	1	0.350000	0.600000	0.900000
gRE22	 MePg	0	0	0	0.500000	3	0	0	0	0	0.005000	0.030000	0	0	0	0	0	1	1
gRE24	 BbS	0	0	0.400000	0.300000	0	0	0	0	0.004000	0	0	0	0	0	0	0.250000	1	0
gRE24	 E	0.800000	55	80.200000	80.200000	84	85.700000	0.800000	0.542000	0.252000	0	0.038000	0.017000	0	0	0	0	0	0
gRE24	 EBb	0.800000	55	80.200000	80.200000	84	85.700000	0.800000	0	0	0	0	0	0	0	0	0	0	0
gRE24	 EPe	0.800000	55	80.200000	80.200000	84	85.700000	0.800000	0	0	0	0	0	0	0	0	0	0	0
gRE24	 EPg	0	3.200000	4	8	5.600000	5.300000	0	0.032000	0.040000	0.071000	0.056000	0	0	0	1	0.775000	1	0.053571
gRE24	 ES	0	2.800000	1.900000	0	0	0	0	0	0	0	0	0	0	0	0.321429	1	0	0
gRE24	 EMe	0	8.100000	8.100000	8.100000	8.100000	8.100000	0	0.081000	0.081000	0.030000	0.063000	0	0	0	1	0.370370	0.777778	0
gRE24	 Pg	0	0	0	1.500000	0.200000	0	0	0	0	0.015000	0	0	0	0	0	0	0.866667	1
gRE24	 PgE	99.200000	25	0.400000	0.400000	0.400000	0.400000	99.200000	0	0	0	0	0	0	0.747984	0.984000	0	0	0
gRE24	 PgMe	0	8.100000	8.100000	8.100000	8.100000	8.100000	0	0	0	0	0	0	0	0	1	0.370370	0.777778	0
gRE24	 S	0	0.900000	0	0	0	0	0	0.009000	0	0	0	0	0	0	1	0	0	0
gRE24	 SE	0	2.800000	1.900000	0	0	0	0	0.028000	0	0	0	0	0	0	0.321429	1	0	0
gRE24	 Me	0	5	5	1.500000	1.700000	0.500000	0	0	0	0	0	0	0	0	0	0.700000	0	0.705882
gRE24	 MeE	0	5	5	1.500000	1.700000	0.500000	0	0.050000	0	0	0.002000	0	0	0	0	0.700000	0	0.705882
gRE25	 Bb	0	0	0	0.200000	0.500000	0	0	0	0	0.002000	0.005000	0	0	0	0	0	1	1
gRE25	 BbPe	0	8.100000	7.300000	6.100000	6.100000	4.800000	0	0.081000	0	0	0	0	0	0	0.098765	0.164384	0	0.213115
gRE25	 BbE	0	5.600000	11.500000	11.500000	12	12	0	0.056000	0.059000	0	0.005000	0	0	0	0	0	0	0
gRE25	 BbPg	0	0	0.800000	0.700000	0.700000	0	0	0	0.008000	0	0.003000	0	0	0	0	0.125000	0.428571	1
gRE25	 BbS	0	3.200000	4.200000	3.500000	0.400000	0	0	0.032000	0.010000	0	0	0	0	0	0	0.166667	0.885714	1
gRE25	 PeBb	0	2.500000	7.600000	7	5.600000	3.400000	0	0.025000	0.051000	0	0	0	0	0	0	0.078947	0.200000	0.392857
gRE25	 PeE	0	0.400000	0.400000	0.900000	0.600000	0.600000	0	0.004000	0	0.005000	0	0	0	0	0	0	0.333333	0
gRE25	 PePg	0	0	0.300000	3.100000	3.200000	1.800000	0	0	0	0	0	0	0	0	0	1	1	0.437500
gRE25	 E	0	4.400000	10.100000	10.100000	10.100000	35.800000	0	0.044000	0.057000	0	0	0.257000	0	0	0	0	0	0
gRE25	 EBb	0	9.200000	30	26.500000	26.500000	12.700000	0	0.092000	0.300000	0	0	0	0	0	1	0.116667	0	0.520755
gRE25	 EPe	1.200000	2.600000	5	5	9.100000	16.200000	1.200000	0.014000	0.024000	0	0.041000	0.071000	0	0	0	0	0	0
gRE25	 EPg	0	0	0	2.800000	1.700000	0	0	0	0	0.028000	0	0	0	0	0	0	0.392857	1
gRE25	 ES	0	4	6.500000	6.500000	11.200000	2	0	0.040000	0.065000	0.059000	0.097000	0	0	0	1	0.907692	0.769231	0.821429
gRE25	 Pg	0	0	0.400000	1.200000	0.100000	0	0	0	0.004000	0.012000	0.001000	0	0	0	0	1	1	1
gRE25	 PgBb	0	1	1.100000	8.300000	3.800000	3.400000	0	0.010000	0.011000	0.083000	0.038000	0	0	0	1	1	1	0.105263
gRE25	 PgPe	0	0	0.300000	3.100000	3.200000	1.800000	0	0	0.003000	0.031000	0.032000	0	0	0	0	1	1	0.437500
gRE25	 PgE	93	48.100000	1.200000	0.400000	0.400000	0	93	0	0	0	0	0	0	0.482796	0.975052	0.666667	0	1
gRE25	 S	5.800000	3.200000	0	0	0	0	5.800000	0	0	0	0	0	0	0.448276	1	0	0	0
gRE25	 SBb	0	6.800000	12	4.600000	4.600000	0	0	0.068000	0.120000	0.046000	0.046000	0	0	0	1	1	1	1
gRE25	 SPe	0	0.600000	1.300000	1.300000	2.900000	5.500000	0	0.006000	0.007000	0	0.016000	0.026000	0	0	0	0	0	0
gRE25	 SE	0	0.300000	0.300000	0.300000	0.500000	1.800000	0	0.003000	0	0	0.002000	0.013000	0	0	0	0	0	0
gRE25	 SPg	5.800000	3.200000	0	0	0	0	5.800000	0	0	0	0	0	0	0.448276	1	0	0	0
gRS20	 Bb	0	0.100000	0.500000	0.700000	0	0	0	0.001000	0.005000	0.007000	0	0	0	0	1	1	1	0
gRS20	 BbPe	0.900000	6.200000	6.500000	7	1.500000	1.500000	0.900000	0.062000	0.065000	0.059000	0.015000	0	0	1	1	0.830769	1	0
gRS20	 BbE	0	2	5.500000	5.500000	5.500000	11.300000	0	0.020000	0.035000	0	0	0.058000	0	0	0	0	0	0
gRS20	 BbPg	0.300000	2	2.700000	2.700000	13	2.600000	0.300000	0	0	0	0	0	0	1	1	1	0.888889	0.800000
gRS20	 BbS	0	1.500000	2.800000	2.100000	1.700000	0	0	0.015000	0.028000	0.021000	0.017000	0	0	0	1	1	1	1
gRS20	 Pe	0	0	0	1	1	0	0	0	0	0.010000	0	0	0	0	0	0	0	1
gRS20	 PeBb	2.300000	6	6	6	6	1.600000	2.300000	0.060000	0.060000	0.060000	0.060000	0	0	1	1	1	1	0.733333
gRS20	 PeE	0.700000	0.800000	1	2.100000	4	0	0.700000	0.008000	0.010000	0.021000	0.040000	0	0	1	1	1	1	1
gRS20	 PePg	1	1	1	1	4	0	1	0.010000	0.010000	0.010000	0.040000	0	0	1	1	1	1	1
gRS20	 PeS	0	0.400000	0.400000	0.400000	1	0	0	0.004000	0.004000	0.004000	0.010000	0	0	0	1	1	1	1
